251,170,29,163,6,54,159,2
49,184,203,166,118,47,169,1
88,53,112,121,242,70,145,2
164,170,135,68,13,64,167,2
249,134,119,51,119,68,141,2
169,196,157,168,204,21,64,3
195,213,21,26,46,164,32,2
180,99,34,138,4,218,119,1
226,120,225,254,155,48,200,3
57,206,201,222,154,94,55,3
240,129,73,89,204,148,46,3
227,85,157,91,183,74,90,1
12,196,168,26,82,200,74,1
128,92,198,53,184,60,31,2
133,185,49,154,240,40,256,2
139,200,235,220,73,58,190,3
251,181,132,145,178,191,106,1
1,157,17,163,84,252,67,1
179,164,188,187,75,186,233,2
82,113,137,231,236,219,112,1
75,45,69,187,59,70,72,3
166,46,108,254,209,121,107,2
63,194,30,161,50,225,208,2
196,201,169,238,6,22,36,1
106,23,30,30,255,112,41,3
98,178,125,80,230,15,161,3
90,195,154,246,233,188,46,2
162,50,47,45,24,67,49,1
220,241,34,95,211,40,126,2
220,54,173,89,58,11,169,1
120,226,139,9,203,41,155,1
100,183,11,252,18,116,145,1
94,166,10,134,147,233,181,2
158,116,144,20,8,232,162,1
109,198,6,214,204,116,132,3
112,243,137,149,205,60,206,3
36,39,14,150,247,121,220,1
196,111,46,59,29,57,43,3
167,34,5,116,96,42,235,1
190,67,82,57,151,172,55,2
92,114,31,134,69,18,149,1
103,44,67,224,32,199,62,3
231,17,49,34,123,65,45,2
137,173,214,234,203,64,154,1
70,58,89,84,153,46,65,1
37,35,138,209,155,205,251,1
37,105,176,70,222,184,155,2
213,20,178,23,13,2,232,2
66,237,168,194,7,130,203,2
162,225,169,238,19,144,89,1
50,205,99,106,213,170,142,1
51,110,168,52,183,118,9,1
170,6,93,196,80,212,100,3
12,18,167,12,136,36,139,1
201,26,10,198,105,55,168,2
77,65,3,105,137,172,160,3
209,17,45,229,46,158,229,1
69,198,256,86,58,95,106,2
20,134,45,66,60,65,16,3
22,248,27,68,157,82,62,3
238,11,83,100,34,128,72,1
4,183,212,128,39,213,139,2
165,74,15,78,23,252,113,1
230,230,58,79,202,122,249,3
178,34,14,8,111,242,61,2
170,31,96,67,32,174,21,2
40,137,213,28,18,160,157,2
237,169,56,20,63,166,48,3
245,7,131,167,131,8,124,3
83,178,185,31,181,76,47,3
47,218,213,141,174,11,210,2
148,247,221,97,98,204,120,1
65,49,178,227,28,64,206,2
235,72,89,113,94,219,76,3
95,181,209,99,70,95,179,2
8,39,8,172,185,53,143,2
121,175,99,192,92,2,233,2
79,10,203,127,108,238,4,2
172,20,146,65,65,38,227,1
226,206,195,175,209,143,23,2
178,123,64,118,25,224,4,2
210,197,172,211,48,32,171,3
39,41,139,194,168,186,18,3
196,183,230,251,27,247,150,3
206,180,177,82,87,122,164,1
195,93,226,130,209,39,62,2
145,36,30,175,185,181,70,1
216,22,230,51,68,40,188,1
246,96,76,253,184,142,154,2
205,192,189,56,215,86,194,1
113,170,160,65,128,146,71,3
202,164,195,251,4,35,159,2
149,179,128,39,61,28,36,2
59,51,118,229,73,77,15,3
224,177,157,149,115,174,146,3
82,194,84,125,130,85,45,2
243,253,186,48,169,103,58,2
66,246,200,119,3,87,252,1
195,147,33,226,76,102,156,2
16,145,161,86,4,87,181,3
167,217,32,64,107,193,122,2
146,225,190,39,183,199,155,2
133,41,152,214,195,168,159,3
215,100,101,32,146,229,212,1
70,221,43,253,33,131,189,2
81,19,185,109,184,208,247,1
246,39,219,50,214,229,38,1
141,31,24,39,109,179,255,2
193,252,19,92,119,107,224,2
158,88,48,186,203,30,187,2
206,58,79,218,207,103,95,2
23,80,86,193,240,101,244,1
76,149,214,7,171,31,145,3
